lat,lon,T_CRU_20100131
47.5,51.5,-9.7
-81.5,-134.5,
-1.5,-49.5,26.8504
14.5,9.5,23.2254
40.5,31.5,1.0749
-10.5,-65.5,26.50006
-86.5,75.5,
63.5,90.5,-24.4746
-75.5,7.5,
-16.5,-66.5,21.15
19.5,56.5,20.9499
74.5,105.5,-31.5
42.5,-93.5,-10.3003
24.5,102.5,9.2998
-12.5,-49.5,26.77502
22.5,-80.5,20.8246
-77.5,-22.5,
57.5,-120.5,-17.97543
-79.5,155.5,
61.5,138.5,-39.575
72.5,86.5,-22.6995
33.5,-110.5,8.0002
-10.5,-62.5,25.20013
5.5,10.5,22.925
-26.5,-49.5,22.2503
58.5,64.5,-16.8499
-86.5,30.5,
51.5,-101.5,-19.8502
42.5,-108.5,-3.6
65.5,-107.5,-27.325
-83.5,-25.5,
-83.5,102.5,
31.5,-92.5,9.7498
68.5,122.5,-33
-76.5,158.5,
43.5,4.5,5.4
-86.5,76.5,
36.5,75.5,-13.0501
41.5,-94.5,-8.4252
61.5,-164.5,-14.7254
-4.5,-53.5,26.2252
57.5,101.5,-24.7247
39.5,98.5,-14.9003
-83.5,-91.5,
-12.5,-70.5,24.52463
47.5,-98.5,-16.7754
-6.5,34.5,22.775307
-80.5,-90.5,
-74.5,20.5,
-82.5,21.5,
50.5,139.5,-19.5751
-66.5,132.5,
7.5,42.5,23.6003
29.5,27.5,15.9751
57.5,138.5,-25.3504
53.5,157.5,-14.0748
69.5,101.5,-27.175
-72.5,63.5,
-30.5,129.5,25.4249
55.5,-101.5,-20.75039
-86.5,135.5,
-77.5,167.5,
-75.5,47.5,
68.5,166.5,-36.25
49.5,-1.5,4.3746
-75.5,-76.5,
12.5,15.5,25.1754
-1.5,-73.5,26.09961
-84.5,79.5,
72.5,112.5,-32.475
-9.5,-58.5,25.3501
-81.5,-123.5,
38.5,-119.5,0.35
-84.5,49.5,
-77.5,51.5,
-85.5,-35.5,
52.5,68.5,-16.6497
-73.5,82.5,
-19.5,17.5,25.2999
44.5,-100.5,-8.5498
-20.5,130.5,29.2503
9.5,27.5,28.74973
40.5,71.5,1.125
-4.5,-65.5,26.94976
-76.5,-108.5,
52.5,104.5,-17.82506
50.5,100.5,-22.3245
-78.5,119.5,
68.5,29.5,-11.550164
-78.5,137.5,
-78.5,-172.5,
-83.5,-147.5,
-14.5,30.5,24.2752
-11.5,-57.5,25.42496
-86.5,73.5,
70.5,-153.5,-26.6499
-72.5,137.5,
27.5,40.5,11.2
44.5,142.5,-5.3247
-77.5,78.5,
75.5,62.5,-25.533
24.5,110.5,7.875
65.5,44.5,-14.90044
62.5,-124.5,-26.9999
26.5,90.5,17.4251
36.5,104.5,-6.9496
-75.5,-74.5,
41.5,122.5,-9.5002
63.5,26.5,-8.1001
-32.5,18.5,22.8746
75.5,-38.5,-29.525
30.5,-1.5,9.4
66.5,30.5,-11.62529
53.5,45.5,-10.1996
3.5,-71.5,26.89992
46.5,67.5,-9.5
42.5,-90.5,-10.9998
-19.5,140.5,28.25
-81.5,144.5,
-69.5,158.5,
-83.5,16.5,
-1.5,20.5,25.30016
31.5,37.5,9.125
5.5,-70.5,26.9496
-67.5,106.5,
34.5,-2.5,8.2747
-85.5,69.5,
31.5,105.5,5.85
42.5,70.5,-6.1753
-85.5,130.5,
42.5,95.5,-9.6997
-83.5,176.5,
7.5,-69.5,27.32532
-86.5,-151.5,
53.5,-61.5,-19.7248
-74.5,86.5,
-20.5,137.5,27.5503
-68.5,100.5,
-78.5,141.5,
1.5,-71.5,25.59972
34.5,-81.5,6.025
69.5,147.5,-33.875
-82.5,67.5,
-86.5,-178.5,
71.5,-94.5,-31.175
-84.5,-175.5,
24.5,107.5,9.35
-7.5,-77.5,16.45024
-30.5,24.5,24.6996
-88.5,129.5,
-86.5,-135.5,
-76.5,96.5,
70.5,-68.5,-25.867
13.5,-2.5,23.7746
-72.5,51.5,
57.5,92.5,-18.54965
66.5,-142.5,-24.6498
32.5,37.5,7.2
48.5,102.5,-18.84983
54.5,-65.5,-23.4502
-21.5,45.5,26.0751
11.5,42.5,23.0503
-73.5,139.5,
-19.5,14.5,21.4751
-83.5,131.5,
5.5,-66.5,22.79999
65.5,126.5,-35.8
-72.5,20.5,
-78.5,143.5,
14.5,7.5,23.5747
29.5,57.5,2.7
-84.5,-24.5,
-9.5,-68.5,26.474798
68.5,138.5,-47.125
19.5,-90.5,23.3003
71.5,105.5,-27.775
65.5,72.5,-22.1254
19.5,11.5,19.3501
41.5,-100.5,-3.2749
-76.5,64.5,
-81.5,-10.5,
50.5,-105.5,-14.9496
-82.5,140.5,
-32.5,23.5,22.9999
-83.5,21.5,
1.5,-61.5,26.62474
56.5,78.5,-18.5249
-5.5,142.5,21.72521
-12.5,31.5,23.52516
48.5,94.5,-26.3503
1.5,40.5,29.85026
29.5,91.5,-4.025
-68.5,42.5,
-74.5,-131.5,
58.5,-110.5,-21.74985
58.5,159.5,-21.7997
35.5,62.5,4.7
70.5,132.5,-41.8
-82.5,112.5,
-7.5,-71.5,26.05044
32.5,60.5,4.9
10.5,49.5,21.6752
58.5,-98.5,-25.0254
-76.5,24.5,
8.5,-10.5,23.925
65.5,-70.5,-24.95
12.5,104.5,24.8999
51.5,-104.5,-17.5246
60.5,87.5,-20.6246
26.5,36.5,17.2001
43.5,52.5,-3.675
-80.5,-81.5,
-82.5,90.5,
-74.5,45.5,
62.5,40.5,-11.2501
-19.5,124.5,31.2999
63.5,49.5,-16.27476
31.5,-9.5,11.2751
11.5,-13.5,24.0753
-86.5,-175.5,
67.5,88.5,-23.8752
46.5,20.5,-0.925
54.5,76.5,-17.0495
32.5,-7.5,10.1997
50.5,104.5,-20.6752
-10.5,-39.5,26.7499
37.5,-81.5,-1.125
5.5,24.5,25.75032
27.5,79.5,16.4004
55.5,67.5,-16.2496
-80.5,3.5,
31.5,112.5,4.2
30.5,41.5,10.25
15.5,-91.5,15.6495
12.5,-84.5,24.57491
-73.5,64.5,
41.5,-2.5,2.2248
5.5,-60.5,22.0253
29.5,67.5,11.425
-79.5,-30.5,
64.5,109.5,-28.9251
28.5,30.5,14.6996
-82.5,79.5,
47.5,32.5,-3.4503
-88.5,-32.5,
22.5,108.5,11.725
-78.5,-138.5,
43.5,74.5,-2.35
54.5,-7.5,3.35
34.5,136.5,4.825
-78.5,22.5,
-79.5,18.5,
60.5,89.5,-20.9998
67.5,158.5,-34.625
-13.5,-65.5,26.74971
-85.5,53.5,
-89.5,-70.5,
